imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt1375666,Inception,Inception,2010,2010-07-16,"Action, Adventure, Sci-Fi",148,"USA, UK","English, Japanese, French",Christopher Nolan,Christopher Nolan,Warner Bros.,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,8.8,1892929,$ 160000000,$ 292576195,$ 829895144,74.0,3439.0,462.0
tt0133093,The Matrix,The Matrix,1999,1999-06-11,"Action, Sci-Fi",136,USA,English,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",Warner Bros.,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden Gray",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,8.7,1554261,$ 63000000,$ 171479930,$ 465343787,73.0,4069.0,337.0
tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,2018-04-26,"Action, Adventure, Sci-Fi",149,USA,English,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",Marvel Studios,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Zoe Saldana, Karen Gillan, Tom Hiddleston, Paul Bettany, Elizabeth Olsen, Anthony Mackie",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.5,725138,$ 321000000,$ 678815482,$ 2048359754,68.0,4111.0,591.0
tt0088763,Back to the Future,Back to the Future,1985,1985-12-04,"Adventure, Comedy, Sci-Fi",116,USA,English,Robert Zemeckis,"Robert Zemeckis, Bob Gale",Universal Pictures,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, Frances Lee McCain, James Tolkan, J.J. Cohen, Casey Siemaszko, Billy Zane, Harry Waters Jr.","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",8.5,965471,$ 19000000,$ 211159762,$ 388355305,87.0,1050.0,233.0
tt4633694,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,2018-12-12,"Animation, Action, Adventure",117,USA,"English, Spanish","Bob Persichetti, Peter Ramsey","Phil Lord, Rodney Rothman",Sony Pictures Entertainment (SPE),"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Luna Lauren Velez, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine, Natalie Morales","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",8.4,275653,$ 90000000,$ 190241310,$ 375540831,87.0,1653.0,379.0
tt0102663,The Pianist,The Pianist,1991,1992-01-31,Romance,112,"Canada, Japan","English, French",Claude Gagnon,"Claude Gagnon, Ann Ireland",,"Gail Travers, Macha Grenon, Eiji Okuda, Dorothée Berryman, Maury Chaykin, Ralph Allison, Carl Alacchi, Andreas Apergis, Elaine Church, Ariane Cordeau, John Fucile, Howard Storey","Jean and her sister, played by Macha Grenon, have a life long infatuation with the Japanese Pianist who once lived across the street from them during their high school years. The film is ...",4.7,119,CAD 4500000,,,,3.0,
tt1853728,Django Unchained,Django Unchained,2012,2013-01-18,"Drama, Western",165,USA,"English, German, French, Italian",Quentin Tarantino,Quentin Tarantino,The Weinstein Company,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Clay Donahue Fontenot","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",8.4,1249336,$ 100000000,$ 162805434,$ 425368238,81.0,1407.0,829.0
tt0082971,Raiders of the Lost Ark,Raiders of the Lost Ark,1981,1981-08-07,"Action, Adventure",115,USA,"English, German, Hebrew, Spanish, Arabic, Nepali",Steven Spielberg,"Lawrence Kasdan, George Lucas",Paramount Pictures,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey, John Rhys-Davies, Denholm Elliott, Alfred Molina, Wolf Kahler, Anthony Higgins, Vic Tablian, Don Fellows, William Hootkins, Bill Reimbold, Fred Sorenson, Patrick Durkin","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before",8.4,830777,$ 18000000,$ 248159971,$ 390133212,85.0,864.0,243.0
tt0361748,Inglourious Basterds,Inglourious Basterds,2009,2009-08-21,"Adventure, Drama, War",153,"Germany, USA","English, German, French, Italian",Quentin Tarantino,Quentin Tarantino,Universal Pictures,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido, B.J. Novak, Omar Doom, August Diehl, Denis Ménochet, Sylvester Groth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",8.3,1162209,$ 70000000,$ 120540719,$ 321455689,69.0,1729.0,521.0
tt0047561,Taxi Driver,Taxi Driver,1954,1954,"Musical, Romance",133,India,Hindi,Chetan Anand,"Chetan Anand, Uma Anand",Navketan International Films,"Dev Anand, Kalpana Kartik, Sheila Ramani, Johnny Walker, Bhagwan Sinha, Patanjal, Shujju, Kamal Singh, Vernon Corke, Krishan Dhawan, Rashid Khan, M.A. Latif, Parveen Kaul, Hamid Sayani","Mangal drives a taxi by day, then drinks at night, listens to his singer girlfriend Sylvie and then goes into a drunken stupor - and wakes up with a hangover. One day, while assisting ...",7.1,233,,,,,4.0,1.0
